team_id,team_name,player_id,player_name,position,date_of_birth,nationality,shirt_number
758,Uruguay,3160,Fernando Muslera,Goalkeeper,1986-06-16,Uruguay,
758,Uruguay,30210,Santiago Mele,Goalkeeper,1997-09-06,Uruguay,
758,Uruguay,30386,Sergio Rochet,Goalkeeper,1993-03-23,Uruguay,
758,Uruguay,3165,Guillermo Varela,Defence,1993-03-24,Uruguay,
758,Uruguay,28292,Ronald Araújo,Defence,1999-03-07,Uruguay,
758,Uruguay,28326,Sebastían Cáceres,Defence,1999-08-18,Uruguay,
758,Uruguay,28426,Matías Viña,Defence,1997-11-09,Uruguay,
758,Uruguay,28740,Joaquín Piquerez,Defence,1998-08-24,Uruguay,
758,Uruguay,28770,Maximiliano Araújo,Defence,2000-02-15,Uruguay,
758,Uruguay,32754,Mathías Olivera,Defence,1997-10-31,Uruguay,
758,Uruguay,32767,Santiago Bueno,Defence,1998-11-09,Uruguay,
758,Uruguay,213277,José Giménez,Defence,1995-01-20,Uruguay,
758,Uruguay,96,Federico Valverde,Midfield,1998-07-22,Uruguay,
758,Uruguay,1244,Giorgian De Arrascaeta,Midfield,1994-06-01,Uruguay,
758,Uruguay,2041,Rodrigo Bentancur,Midfield,1997-06-25,Uruguay,
758,Uruguay,28549,Manuel Ugarte,Midfield,2001-04-11,Uruguay,
758,Uruguay,28618,Brian Rodríguez,Midfield,2000-05-20,Uruguay,
758,Uruguay,121007,Rodrigo Zalazar,Midfield,1999-08-12,Uruguay,
758,Uruguay,122506,Facundo Pellistri,Midfield,2001-12-20,Uruguay,
758,Uruguay,130957,Emiliano Martínez,Midfield,1999-08-17,Uruguay,
758,Uruguay,152435,Juan Sanabria,Midfield,2000-03-29,Uruguay,
758,Uruguay,168795,Nicolas de la Cruz,Midfield,1997-06-01,Uruguay,
758,Uruguay,11206,Rodrigo Aguirre,Offence,1994-10-01,Uruguay,
758,Uruguay,28612,Darwin Núñez,Offence,1999-06-24,Uruguay,
758,Uruguay,28614,Agustín Canobbio,Offence,1998-10-01,Uruguay,
758,Uruguay,112678,Federico Viñas,Offence,1998-06-30,Uruguay,
759,Germany,316,Oliver Baumann,Goalkeeper,1990-06-02,Germany,
759,Germany,341,Manuel Neuer,Goalkeeper,1986-03-27,Germany,
759,Germany,6491,Alexander Nübel,Goalkeeper,1996-09-30,Germany,
759,Germany,149,Jonathan Tah,Defence,1996-02-11,Germany,
759,Germany,379,Waldemar Anton,Defence,1996-07-20,Germany,
759,Germany,3177,Antonio Rüdiger,Defence,1993-03-03,Germany,
759,Germany,9905,David Raum,Defence,1998-04-22,Germany,
759,Germany,75539,Nico Schlotterbeck,Defence,1999-12-01,Germany,
759,Germany,142732,Malick Thiaw,Defence,2001-08-08,Germany,
759,Germany,184533,Nathaniel Brown,Defence,2003-06-16,Germany,
759,Germany,320,Nadiem Amiri,Midfield,1996-10-27,Germany,
759,Germany,359,Joshua Kimmich,Midfield,1995-02-08,Germany,
759,Germany,3181,Leon Goretzka,Midfield,1995-02-06,Germany,
759,Germany,8273,Pascal Groß,Midfield,1991-06-15,Germany,
759,Germany,19334,Florian Wirtz,Midfield,2003-05-03,Germany,
759,Germany,101074,Felix Kalu Nmecha,Midfield,2000-10-10,Germany,
759,Germany,128565,Angelo Stiller,Midfield,2001-04-04,Germany,
759,Germany,144393,Jamal Musiala,Midfield,2003-02-26,Germany,
759,Germany,202665,Aleksandar Pavlović,Midfield,2004-05-03,Germany,
759,Germany,212636,Assan Ouédraogo,Midfield,2006-05-09,Germany,
759,Germany,171,Kai Havertz,Offence,1999-06-11,Germany,
759,Germany,3184,Leroy Sané,Offence,1996-01-11,Germany,
759,Germany,6928,Deniz Undav,Offence,1996-07-19,Germany,
759,Germany,123333,Jamie Leweling,Offence,2001-02-26,Germany,
759,Germany,133547,Nick Woltemade,Offence,2002-02-14,Germany,
759,Germany,133903,Maximilian Beier,Offence,2002-10-17,Germany,
760,Spain,4832,David Raya,Goalkeeper,1995-09-15,Spain,
760,Spain,32570,Unai Simón,Goalkeeper,1997-06-11,Spain,
760,Spain,152506,Joan García,Goalkeeper,2001-05-04,Spain,
760,Spain,7884,Aymeric Laporte,Defence,1994-05-27,Spain,
760,Spain,15863,Cucurella,Defence,1998-07-22,Spain,
760,Spain,16739,Alejandro Grimaldo,Defence,1995-09-20,Spain,
760,Spain,81037,Pedro Porro,Defence,1999-09-13,Spain,
760,Spain,101345,Eric García,Defence,2001-01-09,Spain,
760,Spain,176745,Marc Pubill,Defence,2003-06-20,Spain,
